0	 => 	(85,1900),(263,1946)
1	 => 	(672,1779),(1331,1952)
2	 => 	(430,1895),(450,1918)
3	 => 	(283,1835),(664,1942)
4	 => 	(77,1848),(148,1890)
5	 => 	(182,1837),(245,1869)
6	 => 	(548,1783),(626,1811)
7	 => 	(254,1781),(347,1815)
8	 => 	(381,1780),(487,1832)
9	 => 	(80,1779),(206,1822)
10	 => 	(821,1729),(906,1754)
11	 => 	(946,1726),(1045,1758)
12	 => 	(639,1724),(669,1752)
13	 => 	(705,1723),(788,1753)
14	 => 	(72,1721),(209,1772)
15	 => 	(1112,1719),(1286,1776)
16	 => 	(422,1610),(758,1771)
17	 => 	(256,1717),(413,1766)
18	 => 	(855,1673),(992,1720)
19	 => 	(296,1673),(381,1695)
20	 => 	(1047,1616),(1248,1718)
21	 => 	(765,1670),(833,1705)
22	 => 	(77,1663),(161,1697)
23	 => 	(194,1661),(252,1695)
24	 => 	(948,1614),(1033,1649)
25	 => 	(796,1613),(893,1653)
26	 => 	(77,1613),(176,1639)
27	 => 	(168,1499),(607,1660)
28	 => 	(613,1562),(716,1605)
29	 => 	(861,1495),(1120,1605)
30	 => 	(767,1560),(825,1590)
31	 => 	(1232,1559),(1346,1614)
32	 => 	(1148,1558),(1195,1590)
33	 => 	(80,1551),(142,1612)
34	 => 	(642,1496),(733,1532)
35	 => 	(780,1495),(855,1532)
36	 => 	(1151,1492),(1265,1536)
37	 => 	(84,1484),(145,1526)
38	 => 	(440,1401),(511,1420)
39	 => 	(767,1382),(860,1424)
40	 => 	(911,1380),(1170,1439)
41	 => 	(201,1379),(266,1418)
42	 => 	(572,1378),(714,1449)
43	 => 	(300,1375),(410,1442)
44	 => 	(84,1374),(168,1418)
45	 => 	(470,1303),(583,1363)
46	 => 	(611,1301),(735,1367)
47	 => 	(927,1298),(995,1342)
48	 => 	(769,1298),(873,1358)
49	 => 	(140,1298),(260,1341)
50	 => 	(85,1298),(104,1334)
51	 => 	(1023,1295),(1184,1363)
52	 => 	(294,1295),(420,1359)
53	 => 	(1244,1284),(1307,1334)
54	 => 	(150,1241),(246,1278)
55	 => 	(90,1238),(118,1261)
56	 => 	(582,1228),(659,1265)
57	 => 	(289,1224),(375,1265)
58	 => 	(407,1223),(534,1284)
59	 => 	(783,1222),(950,1284)
60	 => 	(978,1221),(1024,1258)
61	 => 	(685,1220),(756,1280)
62	 => 	(1059,1217),(1192,1254)
63	 => 	(1218,1216),(1347,1253)
64	 => 	(661,1162),(689,1178)
65	 => 	(188,1158),(292,1206)
66	 => 	(1049,1157),(1074,1175)
67	 => 	(540,1146),(632,1194)
68	 => 	(951,1144),(1015,1182)
69	 => 	(722,1144),(863,1195)
70	 => 	(896,1142),(931,1173)
71	 => 	(452,1139),(516,1181)
72	 => 	(1189,1138),(1319,1174)
73	 => 	(1107,1138),(1152,1174)
74	 => 	(315,1138),(424,1176)
75	 => 	(81,1138),(161,1177)
76	 => 	(493,1070),(584,1121)
77	 => 	(905,1067),(955,1096)
